entities,source
"[[""Surabaya"",60],[""Precision_medicine"",100],[""DNA_sequencing"",90],[""Blood_test"",70],[""Bioinformatics"",100],[""RNA"",90],[""Artificial_intelligence"",90],[""Agnosticism"",100],[""Immune_system"",80],[""Inflammation"",70],[""Systemic_lupus_erythematosus"",90],[""Database"",60],[""Machine_learning"",90],[""Clinical_trial"",90]]","AMPEL BioSolutions is a precision medicine company with a development pipeline of CLIA-certified gene expression tests for blood or tissue samples that provides decision support by determining disease status, identifying molecular pathway and predicting drug options. Genomic platform, bioinformatics, RNA analytics and ML/AI algorithms covered by patents & are disease agnostic. AMPEL BioSolutions was founded to bring personalized precision medicine to patients with immune system and inflammation diseases. In 2022, AMPEL expects to commercialize its first product, a CLIA-certified blood test for lupus patients/physicians called LuGENE® that assesses disease state/flares and best drug option(s). AMPEL's technology covers over 95% of all known genes and is disease agnostic so there is capacity to expand reporting of results into new disease indications without developing a new test. AMPEL's exclusive curated database of >10,000 Lupus patient gene expression profiles with rich clinical information is the world's largest and fuels machine learning predictions based on evidence. AMPEL's customers are Pharma/Biotech, utilizing its proprietary genomic platform, bioinformatic tools, and ML/AI algorithms for clinical trial design/management and patient stratification. For more information, visit: http://ampelbiosolutions.com/"
"[[""Precision_medicine"",100],[""Personal_computer"",70]]","RowAnalytics is delivering a range of highly innovative data analytics platforms, which power the next generation of precision medicine, IoT and digital health solutions. RowAnalytics’ tools and components allow the delivery of fully personalized solutions for scientists, clinicians, carers and patients in a secure, faster and cost effective manner. We focus on delivering analytical tools that are powerful enough to manage huge, complex datasets, and efficient enough to be deployed across PC, wearable, mobile and embedded devices."
"[[""Artificial_intelligence"",90],[""Genetic_counseling"",80],[""Family_planning"",70],[""Genomics"",70],[""DNA"",90]]","DNAvisit utilizes AI in genetic counseling and testing for use by physicians and individuals in family planning, genomics, and DNA analysis."
"[[""Single_cell_sequencing"",80],[""Immune_system"",80],[""Machine_learning"",90],[""Database"",60],[""Biomarker"",90],[""New_York_City"",90],[""San_Francisco"",90],[""Tel_Aviv"",90],[""Israel"",90]]","Immunai is a biotech company that combines single-cell genomics with ML algorithms to enable high-resolution profiling of the immune system. Immunai's mission is to map the entire immune system and its functions using single-cell genomics and machine learning. Immunai leverages single-cell technologies to profile cells from a blood sample, and uses machine-learning algorithms (powered by its proprietary database) to map the hundreds of cell types and their states to create an immune profile. They work on biomarker discovery and insights that identify how a cell responds to its changing environment. The company is located in New York City, San Francisco, and Tel Aviv, Israel."
"[[""Artificial_intelligence"",90],[""Machine_learning"",90]]","GenomeKey is an award-winning, early-phase company that is exploiting innovative genomic technology and cutting-edge AI machine learning to address critical healthcare challenges."
"[[""Human_microbiota"",80],[""Metagenomics"",60],[""Shotgun_sequencing"",70],[""Bacteria"",70]]","Biomiic is a fast and accurate microbiome sequencing service for the masses. They utilize high-throughput metagenomic (shotgun) sequencing to deliver high-dimensional, high-coverage genomic information about bacteria and viruses present in the human body"
[],Cutting edge European Technology in genetic sequencing and analysis.
"[[""Medicine"",60]]","Bina Technologies is accelerating the future of personalized, data-driven healthcare. Mission:- They are redefining the future of medicine. Join us to change the world! Description:- They build high performance data analysis solutions that dramatically reduce the time, cost and complexity of creating knowledge from data."
"[[""Diversity_Arrays_Technology"",90],[""Genotyping"",70],[""Genomics"",80],[""Agriculture"",90],[""DNA_sequencing"",90],[""Biosecurity"",80],[""Machine_learning"",90],[""Ecology"",90]]","Diversity Arrays Technology Pty. Ltd. offers generic and genotyping technology products and services such as genome profiling, genetic id typing, statistical analysis, breeding/crop performance evaluation, associated resources, DNA sequencing, data analytics, genomics, biosecurity, machine learning, breeding, farming, ecology, agriculture, data, and breeding software."
"[[""Neoplasm"",60],[""Genomics"",70],[""Machine_learning"",90],[""Breast_cancer"",90]]","Clear Gene detects remaining solid tumors using genomics and machine learning. Residual Illness Cancer that persists after therapy is known as residual illness. A succession of technological breakthroughs in residual disease identification has assisted patients with liquid tumors.  To detect a remaining solid tumor, they employed genomics and machine learning.  Patients with solid tumors like breast cancer, on the other hand, have been left behind. Until now, that is. Cancer that persists after therapy is known as residual illness.  Life-changing innovations need an atmosphere that encourages unconventional thinking while still rewarding rigorous product development.  They work on both the high and low end of the innovation spectrum."
"[[""Genetic_testing"",60],[""DNA"",90],[""Concussion"",60],[""Anterior_cruciate_ligament"",70]]","Athleticode provides personalized genetic testing to athletes. Athleticode tests for unique DNA Codes associated with major sports injuries such as ACL rupture and sport concussion. Through its Player Report, Athleticode combines this information with personalized pre-habilitation training exercises and other personalized strategies to help athletes reduce sport injury risk and enhance performance."
"[[""Precision_medicine"",100],[""Genomics"",70],[""Cortisol"",100],[""Posttraumatic_stress_disorder"",80],[""UGM-27_Polaris"",90],[""DNA_sequencing"",90],[""Genetic_testing"",60],[""Assay"",60],[""Pandemic"",90],[""DNA"",90],[""Midazolam"",90],[""Immunology"",100],[""Virology"",90],[""Machine_learning"",90]]","At the junction of precision medicine and behavioral health, our vision is to reduce suicide, stigma, and suffering in silence. Our products and services include: - PTS-ID is a genomics test that provides objective information to help clinicians confidently and quickly assess patients with cortisol dysregulation associated with PTSD. Results of the test can be combined with behavioral risk survey data to give clinicians a whole-picture view of the patient’s state, enabling earlier, more targeted PTSD treatment. Polaris’ TruNorth Platform provides comprehensive utilization of integrated data sources that creates a complete picture of patient health and PTSD risk.  TruGen-1 is a 1003-gene panel that supports genomic research across a spectrum of neuropsychiatric conditions. Endeavor Lab is a nimble high-complexity CLIA lab that offers a wide variety of genomic sequencing, analysis, and lab testing services, including next-generation sequencing, CLIA / CAP clinical genetic testing, and assay processing, ushering a more in-depth understanding of neuropsychiatric conditions, and enabling the development of - and access to - precision diagnostics. PTSD diagnostics and pandemic era Covid-19 testing are in this company’s DNA, but Polaris is also well versed in immunology and virology, and fluent in leveraging the power of genomics and machine learning."
"[[""Google_Search"",100],[""Water"",90],[""Database"",60],[""Google"",90],[""Amazon_River"",70],[""New_York_City"",70],[""Forbes"",90],[""IBM"",90],[""SoftBank_Group"",100],[""BMW"",90],[""Mini"",70],[""TechCrunch"",100],[""Wired_(magazine)"",60],[""Smart_device"",80],[""Georgia_Aquarium"",100],[""Stanford_University"",90],[""Smithsonian_Institution"",90],[""MIT_Technology_Review"",90],[""Georgia_Institute_of_Technology"",90],[""United_Nations"",90],[""UNESCO"",90],[""Big_data"",80],[""Machine_learning"",90],[""Web_application"",80],[""Application_programming_interface"",90],[""Credit_score"",80],[""Hyperlocal"",70],[""DNA"",90],[""Sustainable_Development_Goals"",60],[""Wired_UK"",80]]","Aquagenuity® is the “Google Search” for water quality, helping you check your water as easily as you check the weather. Honored as ''the world's largest water database'' by Google and winner of the Amazon Innovation Award, Aquagenuity has been recognized by the New York Times, Forbes, IBM, SoftBank, BMW Mini’s Urban-X, TechCrunch, WIRED Magazine, and on the homepage of Google for helping consumers, corporations and cities find out: “What’s In Your Water?” in real-time from any smart device. In 2020, Aquagenuity launched the Water Genome Project™ as a part of Ocean Visions (a collaboration between the Georgia Aquarium, Stanford, Smithsonian, MIT, Georgia Tech and the United Nations UNESCO) to map all the world's water city-by-city, using data to bridge the gap in the last mile between the water treatment plant and every home’s tap.  Leveraging big data analytics and machine learning, Aquagenuity’s proprietary database features up-to-date water quality data for 82% of the U.S. population (that’s 262 million Amercians and counting). The technology includes a web app, a robust API, and the proprietary AquaScore™ (similar to a credit score), which allows hyperlocal water quality data to be displayed on any smart device. Aquagenuity also offers Water DNA tests (the '23 and Me' of water), so any consumer can get real-time water quality data all the way to their home’s tap. Aquagenuity’s Guardians of H2O program is entering schools in 2021, helping to fulfill United Nations Sustainable Development Goal Target #6b. The Guardians program will engage citizen scientists at the local level and provide unprecedented insights into water quality in local communities. Learn more at http://aquagenuity.com"
"[[""Machine_learning"",90],[""Health_insurance"",60],[""Automation"",80],[""Agnosticism"",100],[""Genomics"",70]]","GenLife is making the future of insurance intelligent, inclusive and dynamic. They are building a platform from applying machine learning to their insurance partners' life and health insurance primary data sets to drive down transaction costs, increase automation and improve risk-pricing in underwriting, claims and fraud management.  The platform is being built to be hardware/device agnostic and integrate with future forward-looking data sources such as genomics, geo-location, social, and healthtech. Their insurance partners win when they remove friction, costs and inefficiencies from their operations and their customers' experience.  People win when they transform their insurance from an annual cost to a personalized asset which proactively protects their life and health."
"[[""Artificial_intelligence"",90],[""Quantum_computing"",90],[""Meta_learning"",60],[""Evolution"",60],[""Silicon_Valley"",90],[""Genetics"",60]]","XLabs builds AI to amplify humans. We build meaningful futuristic moonshots powered by artificial intelligence, quantum computing and neurotech. Each of our breakthroughs cascade on top of a core meta-learning AI. An evolution on Silicon Valley’s past models, we use next-gen technologies to change 3 future slices of the world: culture, genetics and the internet."
"[[""Genomics"",70],[""Artificial_intelligence"",90],[""Universal_remote"",70],[""Liquid_biopsy"",60],[""RNA"",90],[""Deep_learning"",100],[""Biomarker"",90],[""Continuous_testing"",60],[""Biopsy"",90]]","MultiplAI leverages genomics and AI to provide universal remote screening for cardiovascular diseases among other complex diseases. We use a liquid biopsy of whole blood based on RNA sequencing and deep learning looking at all biomarkers in the blood, thus creating a superb biomarker to detect diseases earlier. Our test can be used in continuous testing both for preventative screening and post-treatment monitoring. Given that it requires only a simple blood sample, it can be administered remotely, anywhere, and costs a fraction of existing diagnostic methods."
"[[""India"",80],[""Artificial_intelligence"",90],[""Algorithm"",80]]","Biogenick Life is first of its kind of company in India which passionately translates Genomic, Clinical, Wearable IoT and Life style data through its AI algorithm to assess personalize health risk and recommend -- “One step towards better life”."
"[[""Janus"",90],[""Regensburg"",70]]","Janus Genomics is developing a platform that allows training of algorithms on a combination of different biomedical datasets. The technology enables companies to monetize their data and keep it private. Janus Genomics has received support and was accelerated by Entrepreneurs First, Max Plank Intitute and University of Regensburg."
"[[""Precision_medicine"",100],[""Biotechnology"",90],[""Genomics"",70],[""MIT_Technology_Review"",100],[""Belgrade"",90],[""Boston"",90],[""Istanbul"",90],[""San_Francisco"",90]]","Seven Bridges is the industry-leading infrastructure and data analytics company accelerating precision medicine by enabling the understanding of biomedical data.  Our platform, services, and support expertise are driving discovery and drug development at the world’s leading academic, biotechnology, government, hospitals, and pharmaceutical entities. Through our collaborations with the largest genomics projects, we connect the world’s biomedical information to enable the most efficient analysis at scale.  Named one of the world's smartest companies by MIT Technology Review, and a three-time Bio-IT World Best of Show winner, Seven Bridges has offices in Belgrade, Boston, Istanbul, and San Francisco."
"[[""Genomics"",90],[""Artificial_intelligence"",90],[""Molecular_biology"",90],[""Microbiology"",90],[""Data_science"",70],[""Machine_learning"",90],[""Genome_editing"",80],[""Automation"",80],[""Mathematical_optimization"",80],[""Chemical_synthesis"",60],[""Biotransformation"",80],[""Zhou_dynasty"",70],[""Master_of_Business_Administration"",80]]","LifeMine Therapeutics combines genomics with AI and synthetic biology to discover and develop a pipeline of novel medicines. LifeMine’s Avatar-Rx platform integrates high-throughput microbiology, data science and machine learning, genome engineering, and automation technologies to search the fungal biosphere for novel GEMs having a predetermined target and biological function. The platform integrates chemoinformatic-assisted drug optimization and state-of-the-art chemical synthesis with biotransformation to advance new product candidates into development. Founded by Gregory Verdine, PhD, Rick Klausner, MD, and WeiQing Zhou, MBA. LifeMine Therapeutics is headquartered in Cambridge, Massachusetts."
"[[""Genomics"",70],[""Spinout_(film)"",80],[""University_of_Oxford"",90],[""Epigenetics"",90],[""Cancer"",70]]","EpiCombi.AI is a genomics signature-driven therapeutics spinout from Oxford University, is overcoming epigenetic barriers in cancer complexity through the creation of AI-derived, network-acting multi-targeted drugs."
"[[""Data_science"",70],[""Over-the-top_media_services"",60],[""Magic_in_fiction"",90]]","Parrot Analytics is a data science company that measures & predicts audience demand for media content, across all platforms, in all countries around the world. The company works with studios, networks, broadcasters, brands, agencies and OTT platforms; providing data and deep content expertise to drive content investment, distribution, acquisition, licensing, partnership and advertising decisions.  Wielding the world's largest audience behavior datasets, Parrot Analytics has introduced a set of AI-powered solutions to future-proof the media industry. The company has already established its global Demand Measurement system as the TV industry's only global standard for assessing demand for content across platforms. In addition, the company has also introduced the media industry's leading Content Genome™ system to drive granular content decisions and the world's first context-aware discovery and recommendations engine – powered by its global demand data – to improve content monetization and enhance OTT consumer experience.  Parrot Analytics believes in the magic of content and the impact it has on people's lives. The company's mission is to connect content creators with consumers by enabling data-driven content decisions along the entire value chain. "
"[[""Artificial_intelligence"",90],[""Cancer"",70],[""Oncology"",100],[""Just-in-time_manufacturing"",60],[""Drug_discovery"",80]]","Massive Bio, is an Artificial Intelligence (AI) powered platform that connects cancer patients and their treating oncologists to clinical trials while enabling pharmaceutical companies to get access to patients, mostly in community practices, and their information to speed up drug development. Massive Bio combines technology, services and oncology sub-specialist expertise to maximize trial enrollment. Massive Bio is the first company that attacks controlling patient enrollment value chain; Massive Bio does patient identification through direct direct and indirect patient acquisition channels, pre-screening through virtual site, Just-In-Time (JIT) site activation and further analyzes real world data for drug discovery. One of the major differentiating point of Massive Bio is that the Company tackles “last mile” issues for trial enrollment to eliminate site and/or financial considerations of patients. Massive Bio is the go to partner for pharmaceutical companies and CROs to get the right patient at the right time."
"[[""Cancer"",70],[""Clinical_trial"",90],[""Artificial_intelligence"",90],[""Deep_learning"",90]]",Digital model of a cancer patient to predict therapy effect and clinical trial outcome using AI & deep learning
"[[""Artificial_intelligence"",90],[""List_of_life_sciences"",70],[""Precision_medicine"",100]]","Emedgene provides data-driven AI solutions for genomic diagnostics and discovery at scale. The company works with top healthcare and life sciences organizations to enable precision medicine programs, power high throughput diagnostics, and accelerate the pace of research."
"[[""Arkia"",100],[""Artificial_intelligence"",90],[""Genome_editing"",70],[""Genome"",90]]",Arkia Labs accelerates the progress and possibilities of the AI and genome editing industry.
"[[""Machine_learning"",90],[""Genomics"",70]]",NuGenomics is a machine learning and artificial intelligence-based human genomics company.
"[[""Machine_learning"",90],[""Immune_system"",80],[""Big_data"",80]]","Dropprint Genomics provides cell technology and machine learning models that characterize the immune system. It offers big data to the immune system by generating personalized maps of a patient's immune systems to better understand, control, and improve immune health."
"[[""Block_chain"",90],[""Field-programmable_gate_array"",100],[""Machine_learning"",90]]","Altered Silicon develops specialized hardware + Blockchain solutions utilizing FPGA (Field Programmable) processors. More and more, FPGAs are being used for Networking, Data Analytics, Finance, Genomics, Image Processing & Machine Learning. They are where Hyperscale Computing meets Blockchain."
"[[""Artificial_intelligence"",90],[""Cancer"",70],[""Histopathology"",60],[""Medicine"",60],[""Biopsy"",90],[""Precision_medicine"",100]]","Imagene AI provides AI-based molecular testing for cancer, leveraging the patient's histological data for personalized therapy. Our mission at Imagene is to assist cancer patients in receiving the optimal treatment medicine can offer by leveraging AI to detect, in real-time, a broad range of cancerous biomarkers and genomic insights from the biopsy image alone. By doing so, Imagene overcomes economical, logistical, and technological barriers to reach the full potential of precision medicine for cancer patients. Through collaborations with top-tier medical centers and pharmaceutical companies, Imagene is revolutionizing molecular screening for both clinical practice and research. Our success derives from our cutting-edge technology and talented multidisciplinary team of data scientists, biologists, software engineers, and medical experts."
"[[""Genomics"",70],[""Artificial_intelligence"",90]]","Deep Genomics recruits from among the top 1% of recent graduates and seasoned experts at the intersection of genomics, drug development and AI."
"[[""Artificial_intelligence"",90],[""Lymphangioleiomyomatosis"",100],[""Cancer"",70],[""Inflection_point"",100],[""Computer_science"",90],[""Big_data"",80],[""Genome_editing"",70],[""Genomics"",90],[""Lymphoma"",90]]","AI Therapeutics was founded in 2013 with a mission to advance the clinical development of new therapies to treat Lymphangioleiomyomatosis (LAM) and other diseases. Working with a dedicated team of scientific, clinical, and drug development experts, AI Therapeutics expects to use its disease-specific focus and technological approach to identify and advance drugs that will provide significant therapeutic benefits for LAM patients. AI Therapeutics develops drugs for rare diseases and cancer. LAM takes advantage of the inflection point in biological understanding and computer science, leveraging big data from NextGen sequencing, genome editing, chemical genomics, and combinational drug screening, to develop precision therapeutics and companion diagnostics. LAM has advanced two drugs into the clinic: LAM-001 for lymphangioleiomyomatosis, and LAM-002 for B-cell non-Hodgkin lymphoma."
"[[""Genomics"",80],[""Data_based_decision_making"",90],[""Artificial_intelligence"",90]]","Answer Genomics is a new age healthcare company focusing on data based decision making. The starting point for all prognosis is The Genome. The genome combined with biochemical analysis, medical history and lifestyle information is used to create the most comprehensive picture of current and future health. Armed with an estimation of current and future risks for a range of health issues, our artificial intelligence system creates actionable nutritional and lifestyle interventions. We help prevent the health conditions a consumer is predisposed to, creating excellent health for those who choose it."
"[[""Stanford_University"",90],[""Artificial_intelligence"",90],[""Augmentative"",60],[""Economics"",90],[""Genomics"",70],[""Medicine"",60],[""Neuroscience"",90],[""Computer_science"",90],[""Robotics"",60]]","Stanford HAI, vision for the future is led by our commitment to studying, guiding, and developing human-centered AI technologies and applications. They believe AI should be collaborative, augmentative, and enhancing human productivity and quality of life. Stanford HAI leverages the university’s strength across all disciplines, including business, economics, genomics, law, literature, medicine, neuroscience, philosophy, and more. These complement Stanford's tradition of leadership in AI, computer science, engineering, and robotics. Their goal is for Stanford HAI to become an interdisciplinary, global hub for AI thinkers, learners, researchers, developers, builders, and users from academia, government, and industry, as well as leaders and policymakers who want to understand and leverage AI’s impact and potential."
"[[""Genomics"",70],[""Proteomics"",90],[""Machine_learning"",90]]","NonExomics integrates genomics, transcriptomic, and proteomics data by utilizing proprietary machine learning approaches to predict structures of nonexomic proteins and identifies disease-specific nonexomic targets, allowing clients to find cures for rare diseases."
"[[""Cancer"",70],[""Genome_editing"",80],[""Biology"",80],[""Machine_learning"",90],[""Genomics"",90]]","ArsenalBio is building a programmable cell therapy company to create highly effective and accessible immune cell therapies to impact outcomes for a much broader number of patients, initially those with cancer. Founded in 2019, ArsenalBio is focused on integrating technologies such as CRISPR-based genome engineering, scaled and high throughput target identification, synthetic biology, and machine learning to advance a new paradigm to discover and develop in immune cell therapies. With its programmable and computationally driven approach, ArsenalBio aspires to evolve critical metrics of success for immune cell therapies, including enhanced and broader efficacy, increased patient safety, reduced provider costs, and expanded market access."
"[[""Qlucore"",80],[""Bioinformatics"",100],[""Genetics"",60],[""Proteomics"",90],[""Omics"",100],[""Lund_University"",100],[""Sweden"",90],[""North_America"",60],[""Asia"",60]]","Qlucore (www.qlucore.com) is a leading provider of new generation intuitive bioinformatics software for research and precision and companion diagnostics. Qlucore’s mission is to make it easier to analyze the huge amounts of complex data that are generated by innovations in the fields of genetics and proteomics. This is done by providing powerful visualization-based bioinformatics data analysis tools for research and precision diagnostics. The tools are so easy to use that researchers, technicians and physicians easily can interpret and explore their datasets. The Qlucore Omics Explorer software is a Do-It-Yourself bioinformatics software for research in the life science, plant- and biotech industries, as well as academia. The powerful and flexible visualization-based analysis tool with built-in powerful statistics delivers results instantly. The Qlucore Diagnostics software is a platform for multi-omics companion and precision diagnostics. AI-powered, disease-specific machine learning-based classifier models are combined with patient-friendly visualizations in a an easy to use and cost-effective software solution that integrates with a wide range of data-generating techniques and instruments. Qlucore was founded in 2007 by leading researchers at the Departments of Mathematics and Clinical Genetics at Lund University, Sweden. Today Qlucore has customers in about 35 countries around the world, with sales offices in Europe and North America, and distribution in several countries in Asia. Many of the leading pharmaceutical companies use Qlucore in their research, as well as hospitals and universities around the world. Download a trial version today at www.qlucore.com."
"[[""Biology"",90],[""Machine_learning"",90],[""Gene"",90],[""Medicine"",60]]",Patch Biosciences expertise in synthetic biology and machine learning with a platform to engineer gene therapies and medicine.
"[[""Venture_capital"",80],[""Artificial_intelligence"",60],[""European_Union"",60],[""Middle_East"",70]]","Enauto is a California-based venture capital fund that invests in data and A.I. driven businesses that improve the human experience. Investments are primarily in Series A stage businesses with applications focused on human behaviour, life-sciences, health, and wellness. Target investments are located within the U.S., E.U., and Middle East regions.  Enauto utilizes a global network of executives, venture capitalists, and seasoned entrepreneurs to provide founders with deep operational, strategic, and technological support and help facilitate global expansion into new geographies. Member of the BVCA (British Venture Capital Association) Member of the NVCA (US-based National Venture Capital Association)"
"[[""Tradecraft"",70],[""Remote_sensing"",90],[""Carbon"",90],[""Agriculture"",60],[""Biomass"",90],[""Elaeis"",80],[""Cassava"",90],[""Sugarcane"",80],[""Maize"",80],[""Rice"",90],[""Pineapple"",100],[""Eucalyptus"",80],[""Nutrient"",90],[""Weather_forecasting"",70],[""Artificial_intelligence"",90],[""Singapore"",90],[""Netherlands"",90]]","Adatos leverages over 3 decades of experience in Intelligence Analytic Tradecraft to build sophisticated remote sensing based models for carbon and agriculture markets. We have models to measure above ground biomass as well as below ground biomass for carbon projects. We also have extensive experience working in agriculture across many crops including oil palm, cassava, sugar, corn, rice, pineapple, eucalyptus etc. We have a range of models including crop identification, yield prediction, remote macronutrient measurement, pest and disease. We have also build ML-based rainfall models for long term weather forecasting. Lastly we have completed a project in genomic modelling using our AI tools.  Adatos is headquartered in Singapore, with a wholly-owned subsidiary in The Netherlands."
"[[""EvidenceNetwork.ca"",60],[""Artificial_intelligence"",90],[""Battle_of_Palo_Alto"",90],[""California"",90]]","Genoox uses the power of the community to make genomic data actionable, with a mission of creating the largest real world evidence network of genomic and clinical data. Genoox’s cloud-based AI platform connects clinicians, genetic counselors, and healthcare organizations to create a network effect by sharing genetic insights, enabling platform users to make impactful discoveries using the most advanced genomic tools and applications. Genoox is used by over 1,700 health organizations, hospitals and medical facilities in 44 markets across the globe Amir Trabelsi and Moshe Einhorn founded Genoox in 2014, with its headquarters in Palo Alto in California."
"[[""Cannabis"",90],[""Revolutionary"",80],[""Evogene"",70],[""Plant_genetics"",60],[""Artificial_intelligence"",70],[""Wadi_Mujib"",90]]","Canonic develops medical grade cannabis trough a revolutionary genomic approach. The technology of Canonic includes exclusive access to Evogene's technology, knowledge, and IP. They have the expertise in plant genetics, high-quality data, Interconnected information hub, Artificial Intelligence tools, Plant validation systems, and validated and patented genes.  Canonic was founded Arnon Heyman in 2019."
"[[""Artificial_intelligence"",90],[""In_vitro_fertilisation"",80],[""Deep_learning"",100],[""Genomics"",70],[""Tel_Aviv"",90],[""Israel"",90]]","AIVF is an artificial intelligence support platform for IVF treatments. It enables customized treatments and data-driven decision making tools for clinicians in various junctures of IVF treatment. The company develops domain-specific AI and deep learning algorithms that analyze images and videos of developing embryos and their platform takes into consideration the patient's EMR, genomics, and visual data to support key decision junctures. AIVF was founded in 2018 by three experienced professionals and is based in Tel Aviv, Israel."
"[[""Machine_learning"",90],[""Drug_discovery"",80],[""Artificial_intelligence"",90],[""Patient-reported_outcome"",70],[""Genomics"",70],[""Proteomics"",90],[""Phenomics"",80]]","OccamzRazor combines machine learning and first-in-class biological techniques to improve outcomes in drug discovery and development. Our analysis pipeline consists of two proprietary technologies, Panoramic AI and RazorBrain. Together, they are designed to extract data from unstructured text sources (publications, patient reported outcomes, etc.) and join them with structured data (genomics, proteomics, phenomics, etc.) to generate stronger drug discovery hypotheses and more valuable insights. Successful applications include data extraction and curation from biomedical text, novel target identification, and drug repurposing/repositioning."
"[[""Massachusetts_Institute_of_Technology"",90],[""Artificial_intelligence"",90],[""Machine_learning"",90],[""Space_Shuttle_Enterprise"",90],[""University_of_Washington"",90],[""Carnegie_Corporation_of_New_York"",60],[""Metropolis"",90]]","HelloGov® is an SBA Certified Woman-Owned Small Business (WOSB) and customer-centric deep-tech company born out of the MIT Social Genome Project. Our mission is to build the nation's leading federal Artificial Intelligence (AI)/Machine Learning (ML) company while democratizing government access to AI/ML. HelloGov® provides end-to-end Enterprise AI/ML services exclusively to the US Federal Government to automate and accelerate the entire AI lifecycle, from labeling to modeling, custom production pipelines to rapid ML application development, and AI/ML Consultancy using our team of highly skilled Data Scientists, Cyber Engineers, and Extreme Programmers.  Through secure rapid product development and our in-house Full-Stack AI-as-a-Service Platform™, we solve problems in days that many of Washington Technologies Top Ten have been unable to solve in years.  Our flagship product Carnegie Studio™ is the fastest DoD & HIPAA-compliant, self-service data annotation/labeling platform in the federal market to transform unstructured image, video, text and audio data into actionable federal training datasets for ML – 10x faster with 50% reduction in data total cost of ownership (TCO).  Our Metropolis Workforce™ platform is the nation's largest, on-demand federal labor platform with hundreds of cleared annotators. We've worked with federal agencies automating manufacturing, cyber, energy, space and logistics through AI/ML.  Our awards, reputation, and recognition are based upon successfully delivering strategic enterprise value through securely and rapidly solving complex federal data problems. HelloGov® provides workforce services and staffing, IR&D AI software lab, and concrete innovative AI/ML solutions that meet real-world problems within a viable timeframe."
"[[""Weka"",90],[""Clustered_file_system"",100],[""Artificial_intelligence"",90],[""Deep_learning"",100],[""Cloud_computing"",90],[""Vehicular_automation"",70],[""Genomics"",70],[""Financial_modeling"",70],[""Electronic_design_automation"",70],[""Software_development"",60]]","Weka has built a parallel file system, designed to solve the performance challenges in AI deep learning and technical computing. Matrix, WekaIO’s flagship product, leapfrogs legacy storage infrastructures by delivering the highest performance, lowest latency storage at a fraction of the cost of traditional NAS. WekaIO's software provides a seamless hybrid cloud solution between on-premises data centers and the public cloud.  WekaIO has customers in several high-performance markets including autonomous vehicle AI training, genomics, financial modeling, EDA, software development, satellite imaging, and media and entertainment."
"[[""San_Diego"",90],[""Ecosystem"",70],[""Cloud_computing"",100],[""Data_science"",70]]","Based in San Diego, ROSALIND enables the world’s life science researchers to derive more value from their data and complete projects faster. We believe the potential of biomedical and multi-omic data is maximized when it is accessible, interactive, and shareable. Extracting meaningful insights from pools of data takes a truly interoperable ecosystem that breaks down silos of complex information and sparks collaboration. The ROSALIND platform harnesses the power of scientific collaboration, cloud computing, and data science to enable integrated analyses that unify knowledge through an intuitive user interface that is built for any researcher.  For more information, please visit www.rosalind.bio."
"[[""Delfi_(web_portal)"",90],[""Cancer"",70],[""Artificial_intelligence"",90],[""Whole_genome_sequencing"",60],[""Restriction_digest"",60],[""Genome"",90],[""DNA"",90]]","Delfi Diagnostics detect cancer early, when it is most curable, using high precision non-invasive blood tests. It uses artificial intelligence and genome sequencing to detect unique patterns of DNA fragmentation in the blood of patients."
"[[""Drug_discovery"",80],[""Machine_learning"",90],[""Computational_biology"",90],[""Biological_engineering"",70],[""Daphne_Koller"",100],[""South_San_Francisco,_California"",100]]","Insitro is an operator of a data-driven drug discovery and development company that utilizes machine learning and high-throughput biology to transform the way that drugs are discovered and delivered to patients. The company uses state-of-the-art technologies from bioengineering enabling it to generate high-throughput, functional genomic data sets and aligning them with patient data via novel machine learning methods, thereby building predictive models that can accelerate target selection and the design and development of effective therapeutics. In 2018, Daphne Koller established Insitro in South San Francisco, California.."
